date,year,album,song,artist,danceability,energy,speechiness,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5/5/23,2023,#NAME?,Stoned - Bonus Track,Ed Sheeran,0.695,0.322,0.03,-7.145,0.76,0,0.0895,0.4,119.937,197098
5/5/23,2023,#NAME?,Toughest - Bonus Track,Ed Sheeran,0.623,0.547,0.0342,-7.077,0.562,0,0.129,0.484,133.297,213768
5/5/23,2023,#NAME?,Moving - Bonus Track,Ed Sheeran,0.611,0.394,0.0306,-6.786,0.763,0,0.153,0.728,74.998,215247
5/27/22,2022,#NAME?,Tides,Ed Sheeran,0.631,0.825,0.0433,-3.971,0.0167,0,0.122,0.427,129.942,195760
5/27/22,2022,#NAME?,Shivers,Ed Sheeran,0.788,0.859,0.0856,-2.724,0.281,0,0.0424,0.822,141.02,207853
5/27/22,2022,#NAME?,First Times,Ed Sheeran,0.587,0.267,0.0349,-9.206,0.84,0,0.121,0.352,98.845,185853
5/27/22,2022,#NAME?,Bad Habits,Ed Sheeran,0.807,0.893,0.0347,-3.745,0.0451,2.79E-05,0.366,0.537,126.011,230746
5/27/22,2022,#NAME?,Overpass Graffiti,Ed Sheeran,0.52,0.849,0.186,-3.794,0.00253,0,0.119,0.774,175.908,236906
5/27/22,2022,#NAME?,The Joker And The Queen,Ed Sheeran,0.567,0.211,0.0315,-9.975,0.952,5.24E-05,0.275,0.289,134.019,185586
5/27/22,2022,#NAME?,Leave Your Life,Ed Sheeran,0.578,0.558,0.0872,-5.438,0.236,0,0.143,0.54,75.087,223866
5/27/22,2022,#NAME?,Collide,Ed Sheeran,0.672,0.73,0.0372,-4.77,0.113,0,0.0612,0.559,123.969,210213
5/27/22,2022,#NAME?,2step,Ed Sheeran,0.763,0.661,0.056,-5.592,0.169,0,0.117,0.632,95.002,153626
5/27/22,2022,#NAME?,Stop The Rain,Ed Sheeran,0.686,0.765,0.118,-4.778,0.0122,0,0.127,0.743,99.998,203493
5/27/22,2022,#NAME?,Love In Slow Motion,Ed Sheeran,0.485,0.54,0.0253,-5.4,0.668,0,0.0849,0.426,62.631,190933
5/27/22,2022,#NAME?,Visiting Hours,Ed Sheeran,0.471,0.396,0.0336,-6.654,0.77,0,0.0729,0.263,149.609,215506
